Mod:Item:MetaData, Localized Name
gregtech:gt.blockores:522, Nether Quartz Ore
gregtech:gt.blockores:1522, Nether Quartz Ore
gregtech:gt.blockores:2522, Nether Quartz Ore
gregtech:gt.blockores:3522, Nether Quartz Ore
gregtech:gt.blockores:4522, Nether Quartz Ore
gregtech:gt.blockores:5522, Nether Quartz Ore
gregtech:gt.blockores:6522, Nether Quartz Ore
gregtech:gt.blockores:16522, Small Nether Quartz Ore
gregtech:gt.blockores:17522, Small Nether Quartz Ore
gregtech:gt.blockores:18522, Small Nether Quartz Ore
gregtech:gt.blockores:19522, Small Nether Quartz Ore
gregtech:gt.blockores:20522, Small Nether Quartz Ore
gregtech:gt.blockores:21522, Small Nether Quartz Ore
gregtech:gt.blockores:22522, Small Nether Quartz Ore
gregtech:gt.blockores:523, Quartzite Ore
gregtech:gt.blockores:1523, Quartzite Ore
gregtech:gt.blockores:2523, Quartzite Ore
gregtech:gt.blockores:3523, Quartzite Ore
gregtech:gt.blockores:4523, Quartzite Ore
gregtech:gt.blockores:5523, Quartzite Ore
gregtech:gt.blockores:6523, Quartzite Ore
gregtech:gt.blockores:16523, Small Quartzite Ore
gregtech:gt.blockores:17523, Small Quartzite Ore
gregtech:gt.blockores:18523, Small Quartzite Ore
gregtech:gt.blockores:19523, Small Quartzite Ore
gregtech:gt.blockores:20523, Small Quartzite Ore
gregtech:gt.blockores:21523, Small Quartzite Ore
gregtech:gt.blockores:22523, Small Quartzite Ore
gregtech:gt.blockores:524, Lazurite Ore
gregtech:gt.blockores:1524, Lazurite Ore
gregtech:gt.blockores:2524, Lazurite Ore
gregtech:gt.blockores:3524, Lazurite Ore
gregtech:gt.blockores:4524, Lazurite Ore
gregtech:gt.blockores:5524, Lazurite Ore
gregtech:gt.blockores:6524, Lazurite Ore
gregtech:gt.blockores:16524, Small Lazurite Ore
gregtech:gt.blockores:17524, Small Lazurite Ore
gregtech:gt.blockores:18524, Small Lazurite Ore
gregtech:gt.blockores:19524, Small Lazurite Ore
gregtech:gt.blockores:20524, Small Lazurite Ore
gregtech:gt.blockores:21524, Small Lazurite Ore
gregtech:gt.blockores:22524, Small Lazurite Ore
gregtech:gt.blockores:525, Sodalite Ore
gregtech:gt.blockores:1525, Sodalite Ore
gregtech:gt.blockores:2525, Sodalite Ore
gregtech:gt.blockores:3525, Sodalite Ore
gregtech:gt.blockores:4525, Sodalite Ore
gregtech:gt.blockores:5525, Sodalite Ore
gregtech:gt.blockores:6525, Sodalite Ore
gregtech:gt.blockores:16525, Small Sodalite Ore
gregtech:gt.blockores:17525, Small Sodalite Ore
gregtech:gt.blockores:18525, Small Sodalite Ore
gregtech:gt.blockores:19525, Small Sodalite Ore
gregtech:gt.blockores:20525, Small Sodalite Ore
gregtech:gt.blockores:21525, Small Sodalite Ore
gregtech:gt.blockores:22525, Small Sodalite Ore
gregtech:gt.blockores:526, Lapis Ore
gregtech:gt.blockores:1526, Lapis Ore
gregtech:gt.blockores:2526, Lapis Ore
gregtech:gt.blockores:3526, Lapis Ore
gregtech:gt.blockores:4526, Lapis Ore
gregtech:gt.blockores:5526, Lapis Ore
gregtech:gt.blockores:6526, Lapis Ore
gregtech:gt.blockores:16526, Small Lapis Ore
gregtech:gt.blockores:17526, Small Lapis Ore
gregtech:gt.blockores:18526, Small Lapis Ore
gregtech:gt.blockores:19526, Small Lapis Ore
gregtech:gt.blockores:20526, Small Lapis Ore
gregtech:gt.blockores:21526, Small Lapis Ore
gregtech:gt.blockores:22526, Small Lapis Ore
gregtech:gt.blockores:527, Red Garnet Ore
gregtech:gt.blockores:1527, Red Garnet Ore
gregtech:gt.blockores:2527, Red Garnet Ore
gregtech:gt.blockores:3527, Red Garnet Ore
gregtech:gt.blockores:4527, Red Garnet Ore
gregtech:gt.blockores:5527, Red Garnet Ore
gregtech:gt.blockores:6527, Red Garnet Ore
gregtech:gt.blockores:16527, Small Red Garnet Ore
gregtech:gt.blockores:17527, Small Red Garnet Ore
gregtech:gt.blockores:18527, Small Red Garnet Ore
gregtech:gt.blockores:19527, Small Red Garnet Ore
gregtech:gt.blockores:20527, Small Red Garnet Ore
gregtech:gt.blockores:21527, Small Red Garnet Ore
gregtech:gt.blockores:22527, Small Red Garnet Ore
gregtech:gt.blockores:528, Yellow Garnet Ore
gregtech:gt.blockores:1528, Yellow Garnet Ore
gregtech:gt.blockores:2528, Yellow Garnet Ore
gregtech:gt.blockores:3528, Yellow Garnet Ore
gregtech:gt.blockores:4528, Yellow Garnet Ore
gregtech:gt.blockores:5528, Yellow Garnet Ore
gregtech:gt.blockores:6528, Yellow Garnet Ore
gregtech:gt.blockores:16528, Small Yellow Garnet Ore
gregtech:gt.blockores:17528, Small Yellow Garnet Ore
gregtech:gt.blockores:18528, Small Yellow Garnet Ore
gregtech:gt.blockores:19528, Small Yellow Garnet Ore
gregtech:gt.blockores:20528, Small Yellow Garnet Ore
gregtech:gt.blockores:21528, Small Yellow Garnet Ore
gregtech:gt.blockores:22528, Small Yellow Garnet Ore
gregtech:gt.blockores:530, Apatite Ore
gregtech:gt.blockores:1530, Apatite Ore
gregtech:gt.blockores:2530, Apatite Ore
gregtech:gt.blockores:3530, Apatite Ore
gregtech:gt.blockores:4530, Apatite Ore
gregtech:gt.blockores:5530, Apatite Ore
gregtech:gt.blockores:6530, Apatite Ore
gregtech:gt.blockores:16530, Small Apatite Ore
gregtech:gt.blockores:17530, Small Apatite Ore
gregtech:gt.blockores:18530, Small Apatite Ore
gregtech:gt.blockores:19530, Small Apatite Ore
gregtech:gt.blockores:20530, Small Apatite Ore
gregtech:gt.blockores:21530, Small Apatite Ore
gregtech:gt.blockores:22530, Small Apatite Ore
gregtech:gt.blockores:534, Phosphorus Ore
gregtech:gt.blockores:1534, Phosphorus Ore
gregtech:gt.blockores:2534, Phosphorus Ore
gregtech:gt.blockores:3534, Phosphorus Ore
gregtech:gt.blockores:4534, Phosphorus Ore
gregtech:gt.blockores:5534, Phosphorus Ore
gregtech:gt.blockores:6534, Phosphorus Ore
gregtech:gt.blockores:16534, Small Phosphorus Ore
gregtech:gt.blockores:17534, Small Phosphorus Ore
gregtech:gt.blockores:18534, Small Phosphorus Ore
gregtech:gt.blockores:19534, Small Phosphorus Ore
gregtech:gt.blockores:20534, Small Phosphorus Ore
gregtech:gt.blockores:21534, Small Phosphorus Ore
gregtech:gt.blockores:22534, Small Phosphorus Ore
gregtech:gt.blockores:535, Coal Ore
gregtech:gt.blockores:1535, Coal Ore
gregtech:gt.blockores:2535, Coal Ore
gregtech:gt.blockores:3535, Coal Ore
gregtech:gt.blockores:4535, Coal Ore
gregtech:gt.blockores:5535, Coal Ore
gregtech:gt.blockores:6535, Coal Ore
gregtech:gt.blockores:16535, Small Coal Ore
gregtech:gt.blockores:17535, Small Coal Ore
gregtech:gt.blockores:18535, Small Coal Ore
gregtech:gt.blockores:19535, Small Coal Ore
gregtech:gt.blockores:20535, Small Coal Ore
gregtech:gt.blockores:21535, Small Coal Ore
gregtech:gt.blockores:22535, Small Coal Ore
gregtech:gt.blockores:538, Lignite Coal Ore
gregtech:gt.blockores:1538, Lignite Coal Ore
gregtech:gt.blockores:2538, Lignite Coal Ore
gregtech:gt.blockores:3538, Lignite Coal Ore
gregtech:gt.blockores:4538, Lignite Coal Ore
gregtech:gt.blockores:5538, Lignite Coal Ore
gregtech:gt.blockores:6538, Lignite Coal Ore
gregtech:gt.blockores:16538, Small Lignite Coal Ore
gregtech:gt.blockores:17538, Small Lignite Coal Ore
gregtech:gt.blockores:18538, Small Lignite Coal Ore
gregtech:gt.blockores:19538, Small Lignite Coal Ore
gregtech:gt.blockores:20538, Small Lignite Coal Ore
gregtech:gt.blockores:21538, Small Lignite Coal Ore
gregtech:gt.blockores:22538, Small Lignite Coal Ore
gregtech:gt.blockores:540, Aer Infused Stone
gregtech:gt.blockores:1540, Aer Infused Stone
gregtech:gt.blockores:2540, Aer Infused Stone
gregtech:gt.blockores:3540, Aer Infused Stone
gregtech:gt.blockores:4540, Aer Infused Stone
gregtech:gt.blockores:5540, Aer Infused Stone
gregtech:gt.blockores:6540, Aer Infused Stone
gregtech:gt.blockores:16540, Small Aer Infused Stone
gregtech:gt.blockores:17540, Small Aer Infused Stone
gregtech:gt.blockores:18540, Small Aer Infused Stone
gregtech:gt.blockores:19540, Small Aer Infused Stone
gregtech:gt.blockores:20540, Small Aer Infused Stone
gregtech:gt.blockores:21540, Small Aer Infused Stone
gregtech:gt.blockores:22540, Small Aer Infused Stone
gregtech:gt.blockores:541, Ignis Infused Stone
gregtech:gt.blockores:1541, Ignis Infused Stone
gregtech:gt.blockores:2541, Ignis Infused Stone
gregtech:gt.blockores:3541, Ignis Infused Stone
gregtech:gt.blockores:4541, Ignis Infused Stone
gregtech:gt.blockores:5541, Ignis Infused Stone
gregtech:gt.blockores:6541, Ignis Infused Stone
gregtech:gt.blockores:16541, Small Ignis Infused Stone
gregtech:gt.blockores:17541, Small Ignis Infused Stone
gregtech:gt.blockores:18541, Small Ignis Infused Stone
gregtech:gt.blockores:19541, Small Ignis Infused Stone
gregtech:gt.blockores:20541, Small Ignis Infused Stone
gregtech:gt.blockores:21541, Small Ignis Infused Stone
gregtech:gt.blockores:22541, Small Ignis Infused Stone
gregtech:gt.blockores:542, Terra Infused Stone
gregtech:gt.blockores:1542, Terra Infused Stone
gregtech:gt.blockores:2542, Terra Infused Stone
gregtech:gt.blockores:3542, Terra Infused Stone
gregtech:gt.blockores:4542, Terra Infused Stone
gregtech:gt.blockores:5542, Terra Infused Stone
gregtech:gt.blockores:6542, Terra Infused Stone
gregtech:gt.blockores:16542, Small Terra Infused Stone
gregtech:gt.blockores:17542, Small Terra Infused Stone
gregtech:gt.blockores:18542, Small Terra Infused Stone
gregtech:gt.blockores:19542, Small Terra Infused Stone
gregtech:gt.blockores:20542, Small Terra Infused Stone
gregtech:gt.blockores:21542, Small Terra Infused Stone
gregtech:gt.blockores:22542, Small Terra Infused Stone
gregtech:gt.blockores:543, Aqua Infused Stone
gregtech:gt.blockores:1543, Aqua Infused Stone
gregtech:gt.blockores:2543, Aqua Infused Stone
gregtech:gt.blockores:3543, Aqua Infused Stone
gregtech:gt.blockores:4543, Aqua Infused Stone
gregtech:gt.blockores:5543, Aqua Infused Stone
gregtech:gt.blockores:6543, Aqua Infused Stone
gregtech:gt.blockores:16543, Small Aqua Infused Stone
gregtech:gt.blockores:17543, Small Aqua Infused Stone
gregtech:gt.blockores:18543, Small Aqua Infused Stone
gregtech:gt.blockores:19543, Small Aqua Infused Stone
gregtech:gt.blockores:20543, Small Aqua Infused Stone
gregtech:gt.blockores:21543, Small Aqua Infused Stone
gregtech:gt.blockores:22543, Small Aqua Infused Stone
gregtech:gt.blockores:544, Perditio Infused Stone
gregtech:gt.blockores:1544, Perditio Infused Stone
gregtech:gt.blockores:2544, Perditio Infused Stone
gregtech:gt.blockores:3544, Perditio Infused Stone
gregtech:gt.blockores:4544, Perditio Infused Stone
gregtech:gt.blockores:5544, Perditio Infused Stone
gregtech:gt.blockores:6544, Perditio Infused Stone
gregtech:gt.blockores:16544, Small Perditio Infused Stone
gregtech:gt.blockores:17544, Small Perditio Infused Stone
gregtech:gt.blockores:18544, Small Perditio Infused Stone
gregtech:gt.blockores:19544, Small Perditio Infused Stone
gregtech:gt.blockores:20544, Small Perditio Infused Stone
gregtech:gt.blockores:21544, Small Perditio Infused Stone
gregtech:gt.blockores:22544, Small Perditio Infused Stone
gregtech:gt.blockores:545, Ordo Infused Stone
gregtech:gt.blockores:1545, Ordo Infused Stone
gregtech:gt.blockores:2545, Ordo Infused Stone
gregtech:gt.blockores:3545, Ordo Infused Stone
gregtech:gt.blockores:4545, Ordo Infused Stone
gregtech:gt.blockores:5545, Ordo Infused Stone
gregtech:gt.blockores:6545, Ordo Infused Stone
gregtech:gt.blockores:16545, Small Ordo Infused Stone
gregtech:gt.blockores:17545, Small Ordo Infused Stone
gregtech:gt.blockores:18545, Small Ordo Infused Stone
gregtech:gt.blockores:19545, Small Ordo Infused Stone
gregtech:gt.blockores:20545, Small Ordo Infused Stone
gregtech:gt.blockores:21545, Small Ordo Infused Stone
gregtech:gt.blockores:22545, Small Ordo Infused Stone
gregtech:gt.blockores:607, Pyrochlore Ore
gregtech:gt.blockores:1607, Pyrochlore Ore
gregtech:gt.blockores:2607, Pyrochlore Ore
gregtech:gt.blockores:3607, Pyrochlore Ore
gregtech:gt.blockores:4607, Pyrochlore Ore
gregtech:gt.blockores:5607, Pyrochlore Ore
gregtech:gt.blockores:6607, Pyrochlore Ore
gregtech:gt.blockores:16607, Small Pyrochlore Ore
gregtech:gt.blockores:17607, Small Pyrochlore Ore
gregtech:gt.blockores:18607, Small Pyrochlore Ore
gregtech:gt.blockores:19607, Small Pyrochlore Ore
gregtech:gt.blockores:20607, Small Pyrochlore Ore
gregtech:gt.blockores:21607, Small Pyrochlore Ore
gregtech:gt.blockores:22607, Small Pyrochlore Ore
gregtech:gt.blockores:810, Redstone Ore
gregtech:gt.blockores:1810, Redstone Ore
gregtech:gt.blockores:2810, Redstone Ore
gregtech:gt.blockores:3810, Redstone Ore
gregtech:gt.blockores:4810, Redstone Ore
gregtech:gt.blockores:5810, Redstone Ore
gregtech:gt.blockores:6810, Redstone Ore
gregtech:gt.blockores:16810, Small Redstone Ore
gregtech:gt.blockores:17810, Small Redstone Ore
gregtech:gt.blockores:18810, Small Redstone Ore
gregtech:gt.blockores:19810, Small Redstone Ore
gregtech:gt.blockores:20810, Small Redstone Ore
gregtech:gt.blockores:21810, Small Redstone Ore
gregtech:gt.blockores:22810, Small Redstone Ore
gregtech:gt.blockores:812, Electrotine Ore
gregtech:gt.blockores:1812, Electrotine Ore
gregtech:gt.blockores:2812, Electrotine Ore
gregtech:gt.blockores:3812, Electrotine Ore
gregtech:gt.blockores:4812, Electrotine Ore
gregtech:gt.blockores:5812, Electrotine Ore
gregtech:gt.blockores:6812, Electrotine Ore
gregtech:gt.blockores:16812, Small Electrotine Ore
gregtech:gt.blockores:17812, Small Electrotine Ore
gregtech:gt.blockores:18812, Small Electrotine Ore
gregtech:gt.blockores:19812, Small Electrotine Ore
gregtech:gt.blockores:20812, Small Electrotine Ore
gregtech:gt.blockores:21812, Small Electrotine Ore
gregtech:gt.blockores:22812, Small Electrotine Ore
gregtech:gt.blockores:817, Salt Ore
gregtech:gt.blockores:1817, Salt Ore
gregtech:gt.blockores:2817, Salt Ore
gregtech:gt.blockores:3817, Salt Ore
gregtech:gt.blockores:4817, Salt Ore
gregtech:gt.blockores:5817, Salt Ore
gregtech:gt.blockores:6817, Salt Ore
gregtech:gt.blockores:16817, Small Salt Ore
gregtech:gt.blockores:17817, Small Salt Ore
gregtech:gt.blockores:18817, Small Salt Ore
gregtech:gt.blockores:19817, Small Salt Ore
gregtech:gt.blockores:20817, Small Salt Ore
gregtech:gt.blockores:21817, Small Salt Ore
gregtech:gt.blockores:22817, Small Salt Ore
gregtech:gt.blockores:820, Almandine Ore
gregtech:gt.blockores:1820, Almandine Ore
gregtech:gt.blockores:2820, Almandine Ore
gregtech:gt.blockores:3820, Almandine Ore
gregtech:gt.blockores:4820, Almandine Ore
gregtech:gt.blockores:5820, Almandine Ore
gregtech:gt.blockores:6820, Almandine Ore
gregtech:gt.blockores:16820, Small Almandine Ore
gregtech:gt.blockores:17820, Small Almandine Ore
gregtech:gt.blockores:18820, Small Almandine Ore
gregtech:gt.blockores:19820, Small Almandine Ore
gregtech:gt.blockores:20820, Small Almandine Ore
gregtech:gt.blockores:21820, Small Almandine Ore
gregtech:gt.blockores:22820, Small Almandine Ore
gregtech:gt.blockores:821, Andradite Ore
gregtech:gt.blockores:1821, Andradite Ore
gregtech:gt.blockores:2821, Andradite Ore
gregtech:gt.blockores:3821, Andradite Ore
gregtech:gt.blockores:4821, Andradite Ore
gregtech:gt.blockores:5821, Andradite Ore
gregtech:gt.blockores:6821, Andradite Ore
gregtech:gt.blockores:16821, Small Andradite Ore
gregtech:gt.blockores:17821, Small Andradite Ore
gregtech:gt.blockores:18821, Small Andradite Ore
gregtech:gt.blockores:19821, Small Andradite Ore
gregtech:gt.blockores:20821, Small Andradite Ore
gregtech:gt.blockores:21821, Small Andradite Ore
gregtech:gt.blockores:22821, Small Andradite Ore
gregtech:gt.blockores:822, Bauxite Ore
gregtech:gt.blockores:1822, Bauxite Ore
gregtech:gt.blockores:2822, Bauxite Ore
gregtech:gt.blockores:3822, Bauxite Ore
gregtech:gt.blockores:4822, Bauxite Ore
gregtech:gt.blockores:5822, Bauxite Ore
gregtech:gt.blockores:6822, Bauxite Ore
gregtech:gt.blockores:16822, Small Bauxite Ore
gregtech:gt.blockores:17822, Small Bauxite Ore
gregtech:gt.blockores:18822, Small Bauxite Ore
gregtech:gt.blockores:19822, Small Bauxite Ore
gregtech:gt.blockores:20822, Small Bauxite Ore
gregtech:gt.blockores:21822, Small Bauxite Ore
gregtech:gt.blockores:22822, Small Bauxite Ore
gregtech:gt.blockores:823, Calcite Ore
gregtech:gt.blockores:1823, Calcite Ore
gregtech:gt.blockores:2823, Calcite Ore
gregtech:gt.blockores:3823, Calcite Ore
gregtech:gt.blockores:4823, Calcite Ore
gregtech:gt.blockores:5823, Calcite Ore
gregtech:gt.blockores:6823, Calcite Ore
gregtech:gt.blockores:16823, Small Calcite Ore
gregtech:gt.blockores:17823, Small Calcite Ore
gregtech:gt.blockores:18823, Small Calcite Ore
gregtech:gt.blockores:19823, Small Calcite Ore
gregtech:gt.blockores:20823, Small Calcite Ore
gregtech:gt.blockores:21823, Small Calcite Ore
gregtech:gt.blockores:22823, Small Calcite Ore
gregtech:gt.blockores:824, Cassiterite Ore
gregtech:gt.blockores:1824, Cassiterite Ore
gregtech:gt.blockores:2824, Cassiterite Ore
gregtech:gt.blockores:3824, Cassiterite Ore
gregtech:gt.blockores:4824, Cassiterite Ore
gregtech:gt.blockores:5824, Cassiterite Ore
gregtech:gt.blockores:6824, Cassiterite Ore
gregtech:gt.blockores:16824, Small Cassiterite Ore
gregtech:gt.blockores:17824, Small Cassiterite Ore
gregtech:gt.blockores:18824, Small Cassiterite Ore
gregtech:gt.blockores:19824, Small Cassiterite Ore
gregtech:gt.blockores:20824, Small Cassiterite Ore
gregtech:gt.blockores:21824, Small Cassiterite Ore
gregtech:gt.blockores:22824, Small Cassiterite Ore
gregtech:gt.blockores:825, Chromite Ore
gregtech:gt.blockores:1825, Chromite Ore
gregtech:gt.blockores:2825, Chromite Ore
gregtech:gt.blockores:3825, Chromite Ore
gregtech:gt.blockores:4825, Chromite Ore
gregtech:gt.blockores:5825, Chromite Ore
gregtech:gt.blockores:6825, Chromite Ore
gregtech:gt.blockores:16825, Small Chromite Ore
gregtech:gt.blockores:17825, Small Chromite Ore
gregtech:gt.blockores:18825, Small Chromite Ore
gregtech:gt.blockores:19825, Small Chromite Ore
gregtech:gt.blockores:20825, Small Chromite Ore
gregtech:gt.blockores:21825, Small Chromite Ore
gregtech:gt.blockores:22825, Small Chromite Ore
gregtech:gt.blockores:826, Cinnabar Ore
gregtech:gt.blockores:1826, Cinnabar Ore
gregtech:gt.blockores:2826, Cinnabar Ore
gregtech:gt.blockores:3826, Cinnabar Ore
gregtech:gt.blockores:4826, Cinnabar Ore
gregtech:gt.blockores:5826, Cinnabar Ore
gregtech:gt.blockores:6826, Cinnabar Ore
gregtech:gt.blockores:16826, Small Cinnabar Ore
gregtech:gt.blockores:17826, Small Cinnabar Ore
gregtech:gt.blockores:18826, Small Cinnabar Ore
gregtech:gt.blockores:19826, Small Cinnabar Ore
gregtech:gt.blockores:20826, Small Cinnabar Ore
gregtech:gt.blockores:21826, Small Cinnabar Ore
gregtech:gt.blockores:22826, Small Cinnabar Ore
gregtech:gt.blockores:827, Cobaltite Ore
gregtech:gt.blockores:1827, Cobaltite Ore
gregtech:gt.blockores:2827, Cobaltite Ore
gregtech:gt.blockores:3827, Cobaltite Ore
gregtech:gt.blockores:4827, Cobaltite Ore
gregtech:gt.blockores:5827, Cobaltite Ore
gregtech:gt.blockores:6827, Cobaltite Ore
gregtech:gt.blockores:16827, Small Cobaltite Ore
gregtech:gt.blockores:17827, Small Cobaltite Ore
gregtech:gt.blockores:18827, Small Cobaltite Ore
gregtech:gt.blockores:19827, Small Cobaltite Ore
gregtech:gt.blockores:20827, Small Cobaltite Ore
gregtech:gt.blockores:21827, Small Cobaltite Ore
gregtech:gt.blockores:22827, Small Cobaltite Ore
gregtech:gt.blockores:828, Sheldonite Ore
gregtech:gt.blockores:1828, Sheldonite Ore
gregtech:gt.blockores:2828, Sheldonite Ore
gregtech:gt.blockores:3828, Sheldonite Ore
gregtech:gt.blockores:4828, Sheldonite Ore
gregtech:gt.blockores:5828, Sheldonite Ore
gregtech:gt.blockores:6828, Sheldonite Ore
gregtech:gt.blockores:16828, Small Sheldonite Ore
gregtech:gt.blockores:17828, Small Sheldonite Ore
gregtech:gt.blockores:18828, Small Sheldonite Ore
gregtech:gt.blockores:19828, Small Sheldonite Ore
gregtech:gt.blockores:20828, Small Sheldonite Ore
gregtech:gt.blockores:21828, Small Sheldonite Ore
gregtech:gt.blockores:22828, Small Sheldonite Ore
gregtech:gt.blockores:829, Deep Iron Ore
gregtech:gt.blockores:1829, Deep Iron Ore
gregtech:gt.blockores:2829, Deep Iron Ore
gregtech:gt.blockores:3829, Deep Iron Ore
gregtech:gt.blockores:4829, Deep Iron Ore
gregtech:gt.blockores:5829, Deep Iron Ore
gregtech:gt.blockores:6829, Deep Iron Ore
gregtech:gt.blockores:16829, Small Deep Iron Ore
gregtech:gt.blockores:17829, Small Deep Iron Ore
gregtech:gt.blockores:18829, Small Deep Iron Ore
gregtech:gt.blockores:19829, Small Deep Iron Ore
gregtech:gt.blockores:20829, Small Deep Iron Ore
gregtech:gt.blockores:21829, Small Deep Iron Ore
gregtech:gt.blockores:22829, Small Deep Iron Ore
gregtech:gt.blockores:830, Galena Ore
gregtech:gt.blockores:1830, Galena Ore
gregtech:gt.blockores:2830, Galena Ore
gregtech:gt.blockores:3830, Galena Ore
gregtech:gt.blockores:4830, Galena Ore
gregtech:gt.blockores:5830, Galena Ore
gregtech:gt.blockores:6830, Galena Ore
gregtech:gt.blockores:16830, Small Galena Ore
gregtech:gt.blockores:17830, Small Galena Ore
gregtech:gt.blockores:18830, Small Galena Ore
gregtech:gt.blockores:19830, Small Galena Ore
gregtech:gt.blockores:20830, Small Galena Ore
gregtech:gt.blockores:21830, Small Galena Ore
gregtech:gt.blockores:22830, Small Galena Ore
gregtech:gt.blockores:831, Grossular Ore
gregtech:gt.blockores:1831, Grossular Ore
gregtech:gt.blockores:2831, Grossular Ore
gregtech:gt.blockores:3831, Grossular Ore
gregtech:gt.blockores:4831, Grossular Ore
gregtech:gt.blockores:5831, Grossular Ore
gregtech:gt.blockores:6831, Grossular Ore
gregtech:gt.blockores:16831, Small Grossular Ore
gregtech:gt.blockores:17831, Small Grossular Ore
gregtech:gt.blockores:18831, Small Grossular Ore
gregtech:gt.blockores:19831, Small Grossular Ore
gregtech:gt.blockores:20831, Small Grossular Ore
gregtech:gt.blockores:21831, Small Grossular Ore
gregtech:gt.blockores:22831, Small Grossular Ore
gregtech:gt.blockores:833, Phosphate Ore
gregtech:gt.blockores:1833, Phosphate Ore
gregtech:gt.blockores:2833, Phosphate Ore
gregtech:gt.blockores:3833, Phosphate Ore
gregtech:gt.blockores:4833, Phosphate Ore
gregtech:gt.blockores:5833, Phosphate Ore
gregtech:gt.blockores:6833, Phosphate Ore
gregtech:gt.blockores:16833, Small Phosphate Ore
gregtech:gt.blockores:17833, Small Phosphate Ore
gregtech:gt.blockores:18833, Small Phosphate Ore
gregtech:gt.blockores:19833, Small Phosphate Ore
gregtech:gt.blockores:20833, Small Phosphate Ore
gregtech:gt.blockores:21833, Small Phosphate Ore
gregtech:gt.blockores:22833, Small Phosphate Ore
gregtech:gt.blockores:834, Pyrite Ore
gregtech:gt.blockores:1834, Pyrite Ore
gregtech:gt.blockores:2834, Pyrite Ore
gregtech:gt.blockores:3834, Pyrite Ore
gregtech:gt.blockores:4834, Pyrite Ore
gregtech:gt.blockores:5834, Pyrite Ore
gregtech:gt.blockores:6834, Pyrite Ore
gregtech:gt.blockores:16834, Small Pyrite Ore
gregtech:gt.blockores:17834, Small Pyrite Ore
gregtech:gt.blockores:18834, Small Pyrite Ore
gregtech:gt.blockores:19834, Small Pyrite Ore
gregtech:gt.blockores:20834, Small Pyrite Ore
gregtech:gt.blockores:21834, Small Pyrite Ore
gregtech:gt.blockores:22834, Small Pyrite Ore
gregtech:gt.blockores:835, Pyrope Ore
gregtech:gt.blockores:1835, Pyrope Ore
gregtech:gt.blockores:2835, Pyrope Ore
gregtech:gt.blockores:3835, Pyrope Ore
gregtech:gt.blockores:4835, Pyrope Ore
gregtech:gt.blockores:5835, Pyrope Ore
gregtech:gt.blockores:6835, Pyrope Ore
gregtech:gt.blockores:16835, Small Pyrope Ore
gregtech:gt.blockores:17835, Small Pyrope Ore
gregtech:gt.blockores:18835, Small Pyrope Ore
gregtech:gt.blockores:19835, Small Pyrope Ore
gregtech:gt.blockores:20835, Small Pyrope Ore
gregtech:gt.blockores:21835, Small Pyrope Ore
gregtech:gt.blockores:22835, Small Pyrope Ore
gregtech:gt.blockores:836, Saltpeter Ore
gregtech:gt.blockores:1836, Saltpeter Ore
gregtech:gt.blockores:2836, Saltpeter Ore
gregtech:gt.blockores:3836, Saltpeter Ore
gregtech:gt.blockores:4836, Saltpeter Ore
gregtech:gt.blockores:5836, Saltpeter Ore
gregtech:gt.blockores:6836, Saltpeter Ore
gregtech:gt.blockores:16836, Small Saltpeter Ore
gregtech:gt.blockores:17836, Small Saltpeter Ore
gregtech:gt.blockores:18836, Small Saltpeter Ore
gregtech:gt.blockores:19836, Small Saltpeter Ore
gregtech:gt.blockores:20836, Small Saltpeter Ore
gregtech:gt.blockores:21836, Small Saltpeter Ore
gregtech:gt.blockores:22836, Small Saltpeter Ore
gregtech:gt.blockores:838, Spessartine Ore
gregtech:gt.blockores:1838, Spessartine Ore
gregtech:gt.blockores:2838, Spessartine Ore
gregtech:gt.blockores:3838, Spessartine Ore
gregtech:gt.blockores:4838, Spessartine Ore
gregtech:gt.blockores:5838, Spessartine Ore
gregtech:gt.blockores:6838, Spessartine Ore
gregtech:gt.blockores:16838, Small Spessartine Ore
gregtech:gt.blockores:17838, Small Spessartine Ore
gregtech:gt.blockores:18838, Small Spessartine Ore
gregtech:gt.blockores:19838, Small Spessartine Ore
gregtech:gt.blockores:20838, Small Spessartine Ore
gregtech:gt.blockores:21838, Small Spessartine Ore
gregtech:gt.blockores:22838, Small Spessartine Ore
gregtech:gt.blockores:839, Sphalerite Ore
gregtech:gt.blockores:1839, Sphalerite Ore
gregtech:gt.blockores:2839, Sphalerite Ore
gregtech:gt.blockores:3839, Sphalerite Ore
gregtech:gt.blockores:4839, Sphalerite Ore
gregtech:gt.blockores:5839, Sphalerite Ore
gregtech:gt.blockores:6839, Sphalerite Ore
gregtech:gt.blockores:16839, Small Sphalerite Ore
gregtech:gt.blockores:17839, Small Sphalerite Ore
gregtech:gt.blockores:18839, Small Sphalerite Ore
gregtech:gt.blockores:19839, Small Sphalerite Ore
gregtech:gt.blockores:20839, Small Sphalerite Ore
gregtech:gt.blockores:21839, Small Sphalerite Ore
gregtech:gt.blockores:22839, Small Sphalerite Ore
gregtech:gt.blockores:840, Tetrahedrite Ore
gregtech:gt.blockores:1840, Tetrahedrite Ore
gregtech:gt.blockores:2840, Tetrahedrite Ore
gregtech:gt.blockores:3840, Tetrahedrite Ore
gregtech:gt.blockores:4840, Tetrahedrite Ore
gregtech:gt.blockores:5840, Tetrahedrite Ore
